stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,17.548246300022583,18.136915099981707,18.136915099981707,18.15448899997864,18.45478999998886,left,-10.0,1,1,1.3465458999853581,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
1,2,8.0,19.51998330000788,20.005220099992584,20.005220099992584,20.021157199982554,20.324209399987012,right,8.0,1,1,0.36854930000845343,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
2,1,6.0,20.419916599988937,20.92309449997265,20.92309449997265,20.92309449997265,,right,6.0,0,0,0.28139909997116774,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
3,1,7.0,21.236744399997406,21.73698390001664,21.73698390001664,21.756073000025935,22.038552700018045,left,-7.0,1,1,0.35450010001659393,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
4,1,7.0,22.11883679998573,22.621076399984304,22.621076399984304,22.64102430001367,22.922599799989257,left,-7.0,1,1,0.42042989999754354,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
5,1,7.0,23.087457599991467,23.569411500007845,23.569411500007845,23.607090600009542,23.871784900024068,left,-7.0,1,1,0.4219137999461964,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
6,1,6.0,24.035995099984575,24.540462100005243,24.540462100005243,24.56983220000984,24.853634500002954,right,6.0,1,1,0.2767512000282295,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
7,0.5,6.0,24.853634500002954,25.355113000026904,25.355113000026904,25.355113000026904,,right,6.0,0,0,0.2654282000148669,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
8,0.5,6.5,25.656231299974024,26.155828099988867,26.155828099988867,26.186503799981438,26.473249199974816,left,-6.5,1,1,0.39170649996958673,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
9,0.5,6.5,26.590677300002426,27.07093879999593,27.07093879999593,27.121489999990445,27.388902199978475,left,-6.5,1,1,0.39673279999988154,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
10,0.5,6.5,27.502649699978065,27.986999100015964,27.986999100015964,28.005232400028035,28.32045030000154,left,-6.5,1,1,0.3700630000093952,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
11,0.5,6.0,28.419741399993654,28.917964500025846,28.917964500025846,28.93728730001021,29.221632800006773,right,6.0,1,1,0.3090037999791093,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
12,0.5,6.0,29.269280800013803,29.769352499977686,29.769352499977686,29.79124689998571,30.070579199993517,left,-6.0,0,0,0.42168729996774346,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
13,0.5,6.5,30.240072400018107,30.73774999997113,30.73774999997113,30.75745849998202,31.03717670001788,left,-6.5,1,1,0.7611942000221461,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
14,0.5,6.5,31.53614350000862,32.02209829998901,32.02209829998901,32.05340350000188,32.321158799983095,right,6.5,1,1,0.48045150004327297,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
15,0.5,6.5,32.53674810001394,33.03659129998414,33.03659129998414,33.056384600000456,33.34155760001158,right,6.5,1,1,0.4688724000006914,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
16,0.5,6.0,33.553328300011344,34.03764100000262,34.03764100000262,34.05642719997559,34.337871099996846,left,-6.0,1,1,0.5015163000207394,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
17,0.5,6.0,34.5886769000208,35.08673969999654,35.08673969999654,35.10166739998385,35.40388100000564,left,-6.0,1,1,0.3341511999606155,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
18,0.5,6.0,35.455426800006535,35.93754509999417,35.93754509999417,35.98622989997966,36.237572100013494,left,-6.0,1,1,0.38146429997868836,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
19,0.5,5.5,36.35432530002436,36.853433099982794,36.853433099982794,36.874297600006685,37.152906899980735,left,-5.5,1,1,0.5182026000111364,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
20,0.5,5.5,37.40216589998454,37.90440519998083,37.90440519998083,37.90440519998083,38.204413099971134,right,5.5,1,1,0.5307316000107676,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
21,0.5,5.5,38.469435399980284,38.95201489998726,38.95201489998726,38.971844999992754,39.25642719998723,left,-5.5,1,1,0.3846629000036046,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
22,0.5,5.0,39.368711700022686,39.86940299998969,39.86940299998969,39.890459200018086,40.171191499975976,left,-5.0,1,1,0.4398632000084035,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
23,0.5,5.0,40.353010900027584,40.83692179998616,40.83692179998616,40.859244199993555,41.13609450001968,right,5.0,1,1,0.47478559997398406,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
24,0.5,5.0,41.354440599970985,41.8527172000031,41.8527172000031,41.870972400007304,42.155956299975514,right,5.0,1,1,0.4416065000114031,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
25,0.5,4.5,42.337340000027325,42.837575100013055,42.837575100013055,42.85635339998407,43.15656229999149,right,4.5,1,1,0.44477249996270984,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
26,0.5,4.5,43.30428019998362,43.80268550000619,43.80268550000619,43.823914300010074,44.120911700010765,right,4.5,1,1,0.40619960002368316,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
27,0.5,4.5,44.25286639999831,44.75401079998119,44.75401079998119,44.77227680000942,45.05455310002435,right,4.5,1,1,0.46138560003601015,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
28,0.5,4.0,45.25498660001904,45.73574259999441,45.73574259999441,45.790435099974275,46.036912699986715,right,4.0,1,1,0.4289184000226669,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
29,0.5,4.0,46.2045140999835,46.70318910002243,46.70318910002243,46.70318910002243,47.00371620000806,right,4.0,0,0,0.4420898000244051,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
30,0.5,4.5,47.186944900022354,47.66991330002202,47.66991330002202,47.68853520002449,47.98499379999703,left,-4.5,1,1,0.46234909998020157,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
31,0.5,4.5,48.16869319998659,48.65535269997781,48.65535269997781,48.68639129999792,48.96809999999823,right,4.5,1,1,0.4552158999722451,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
32,0.5,4.5,49.13644570001634,49.63833490002435,49.63833490002435,49.63833490002435,49.956251900002826,left,-4.5,1,1,0.4398586999741383,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
33,0.5,4.0,50.119000800012145,50.60297070001252,50.60297070001252,50.62083919998258,50.91916609997861,left,-4.0,1,1,0.6641415000194684,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
34,0.5,4.0,51.30228870001156,51.78980919998139,51.78980919998139,51.81902880000416,52.10316380002769,left,-4.0,1,1,0.3535516000119969,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
35,0.5,4.0,52.18687069998123,52.68650329997763,52.68650329997763,52.70336149999639,52.98649669997394,right,4.0,0,0,0.4246024999883957,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
36,0.5,4.5,53.136667800019495,53.637727299996186,53.637727299996186,53.66988050000509,53.973455799976364,right,4.5,1,1,0.6268544999766164,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
37,0.5,4.5,54.30301540001528,54.80226740002399,54.80226740002399,54.82044679997489,55.103101400018204,right,4.5,1,1,0.41059430001769215,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
38,0.5,4.5,55.253472100012004,55.75324280001223,55.75324280001223,55.78485300001921,56.06962059997022,left,-4.5,0,0,0.381920000014361,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
39,0.5,5.0,56.1708118999959,56.66932410001755,56.66932410001755,56.68690009997226,56.970635399979074,right,5.0,1,1,0.5747050000354648,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
40,0.5,5.0,57.28278670000145,57.78225679998286,57.78225679998286,57.80161500000395,58.087254200014286,left,-5.0,1,1,0.488730100041721,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
41,0.5,5.0,58.317118900013156,58.80384020000929,58.80384020000929,58.82057989999885,59.137604899995495,right,5.0,1,1,0.2933492999873124,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
42,0.5,4.5,59.137604899995495,59.62129919999279,59.62129919999279,59.65096469997661,59.93675649998477,left,-4.5,1,1,0.37904700002400205,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
43,0.5,4.5,60.03561560000526,60.5201610000222,60.5201610000222,60.53643330000341,60.83022130001336,right,4.5,1,1,0.35142169997561723,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
44,0.5,4.5,60.91919909999706,61.418278399971314,61.418278399971314,61.436617899977136,61.72043400001712,left,-4.5,1,1,0.42073779995553195,080220,001,2023-09-06_16h31.15.942,staircase,2023.1.3,59.47364634293262,
